minute_index,hour,minute,duration_ms,n_observations
252,4,12,1756,3
253,4,13,2300,3
254,4,14,2233,3
255,4,15,2311,3
256,4,16,2278,3
257,4,17,2277,3
258,4,18,2300,3
259,4,19,2278,3
260,4,20,2278,3
261,4,21,2266,3
262,4,22,2289,3
263,4,23,2333,3
264,4,24,2311,3
265,4,25,2300,3
266,4,26,2311,3
267,4,27,2322,3
268,4,28,2300,3
269,4,29,2322,3
270,4,30,2300,3
271,4,31,2333,3
272,4,32,2311,3
273,4,33,2300,3
274,4,34,2355,3
275,4,35,2322,3
276,4,36,2344,3
277,4,37,2311,3
278,4,38,2355,3
279,4,39,2378,3
280,4,40,2367,3
281,4,41,2333,3
282,4,42,2322,3
283,4,43,2400,3
284,4,44,2367,3
285,4,45,2356,3
286,4,46,2389,3
287,4,47,2377,3
288,4,48,2378,3
289,4,49,2422,3
290,4,50,2344,3
291,4,51,2411,3
292,4,52,2411,3
293,4,53,2400,3
294,4,54,2356,3
295,4,55,2422,3
296,4,56,2433,3
297,4,57,2422,3
298,4,58,2400,3
299,4,59,2467,3
300,5,0,2400,3
301,5,1,2456,3
302,5,2,2422,3
303,5,3,2422,3
304,5,4,2455,3
305,5,5,2422,3
306,5,6,2478,3
307,5,7,2467,3
308,5,8,2466,3
309,5,9,2500,3
310,5,10,2456,3
311,5,11,2489,3
312,5,12,2511,3
313,5,13,2467,3
314,5,14,2555,3
315,5,15,2478,3
316,5,16,2511,3
317,5,17,2489,3
318,5,18,2522,3
319,5,19,2500,3
320,5,20,2544,3
321,5,21,2534,3
322,5,22,2555,3
323,5,23,2600,3
324,5,24,2544,3
325,5,25,2533,3
326,5,26,2556,3
327,5,27,2611,3
328,5,28,2589,3
329,5,29,2556,3
330,5,30,2644,3
331,5,31,2634,3
332,5,32,2567,3
333,5,33,2622,3
334,5,34,2622,3
335,5,35,2633,3
336,5,36,2678,3
337,5,37,2645,3
338,5,38,2656,3
339,5,39,2677,3
340,5,40,2656,3
341,5,41,2678,3
342,5,42,2700,3
343,5,43,2656,3
344,5,44,2733,3
345,5,45,2711,3
346,5,46,2722,3
347,5,47,2756,3
348,5,48,2678,3
349,5,49,2822,3
350,5,50,2767,3
351,5,51,2822,3
352,5,52,2825,4
353,5,53,2825,4
354,5,54,2900,4
355,5,55,2825,4
356,5,56,2875,4
357,5,57,2916,4
358,5,58,2925,4
359,5,59,2889,3
360,6,0,2955,3
361,6,1,2989,3
362,6,2,2944,3
363,6,3,2966,3
364,6,4,3033,3
365,6,5,2989,3
366,6,6,3000,3
367,6,7,3078,3
368,6,8,3000,3
369,6,9,3089,3
370,6,10,3078,3
371,6,11,3133,3
372,6,12,3167,3
373,6,13,3089,3
374,6,14,3189,3
375,6,15,3189,3
376,6,16,3233,3
377,6,17,3244,3
378,6,18,3278,3
379,6,19,3267,3
380,6,20,3356,3
381,6,21,3333,3
382,6,22,3333,3
383,6,23,3389,3
384,6,24,3400,3
385,6,25,3422,3
386,6,26,3478,3
387,6,27,3433,3
388,6,28,3333,4
389,6,29,3517,4
390,6,30,3433,4
391,6,31,3584,4
392,6,32,3608,4
393,6,33,3650,4
394,6,34,3666,4
395,6,35,3667,4
396,6,36,3700,4
397,6,37,3758,4
398,6,38,3684,2
399,6,39,3684,2
400,6,40,3800,2
401,6,41,3858,4
402,6,42,3850,4
403,6,43,3892,4
404,6,44,3916,4
405,6,45,3950,4
406,6,46,3958,4
407,6,47,4008,4
408,6,48,4009,4
409,6,49,4033,4
410,6,50,4100,4
411,6,51,4092,4
412,6,52,4142,4
413,6,53,4167,4
414,6,54,4166,4
415,6,55,4233,4
416,6,56,4217,4
417,6,57,4258,4
418,6,58,4300,4
419,6,59,4308,4
420,7,0,4350,4
421,7,1,4375,4
422,7,2,4366,4
423,7,3,4450,4
424,7,4,4434,4
425,7,5,4475,4
426,7,6,4517,4
427,7,7,4550,4
428,7,8,4509,4
429,7,9,4608,4
430,7,10,4478,3
431,7,11,4544,3
432,7,12,4545,3
433,7,13,4658,4
434,7,14,4700,4
435,7,15,4700,4
436,7,16,4717,4
437,7,17,4750,4
438,7,18,4783,4
439,7,19,4784,4
440,7,20,4833,4
441,7,21,4800,4
442,7,22,4858,4
443,7,23,4833,4
444,7,24,4900,4
445,7,25,4858,4
446,7,26,4900,4
447,7,27,4917,4
448,7,28,4942,4
449,7,29,4934,4
450,7,30,5033,3
451,7,31,4989,3
452,7,32,5022,3
453,7,33,5055,3
454,7,34,5011,3
455,7,35,5100,3
456,7,36,5045,3
457,7,37,5044,3
458,7,38,5089,3
459,7,39,5000,3
460,7,40,5100,3
461,7,41,5034,3
462,7,42,5067,3
463,7,43,5011,3
464,7,44,5000,3
465,7,45,5044,3
466,7,46,4967,3
467,7,47,5055,3
468,7,48,4634,1
469,7,49,4600,1
470,7,50,4633,1
471,7,51,4584,2
472,7,52,4583,2
473,7,53,4566,2
474,7,54,4550,2
475,7,55,4517,2
476,7,56,4533,2
477,7,57,4484,2
478,7,58,4500,2
479,7,59,4467,2
480,8,0,4433,2
481,8,1,4434,2
482,8,2,4434,2
483,8,3,4366,2
484,8,4,4350,2
485,8,5,4366,2
486,8,6,4350,2
487,8,7,4400,2
488,8,8,4416,2
489,8,9,4484,2
490,8,10,4500,2
491,8,11,4550,2
492,8,12,4600,2
493,8,13,4617,2
494,8,14,4666,2
495,8,15,4717,2
496,8,16,4800,2
497,8,17,4800,2
498,8,18,4833,1
499,8,19,4867,1
500,8,20,4967,1
501,8,21,4950,2
502,8,22,4950,2
503,8,23,5034,2
504,8,24,5100,2
505,8,25,5100,2
506,8,26,5150,2
507,8,27,5200,2
508,8,28,5233,2
509,8,29,5266,2
510,8,30,5284,2
511,8,31,5316,2
512,8,32,5384,2
513,8,33,5400,2
514,8,34,5450,2
515,8,35,5450,2
516,8,36,5534,2
517,8,37,5533,2
518,8,38,5517,2
519,8,39,5600,2
520,8,40,5617,2
521,8,41,5600,2
522,8,42,5650,2
523,8,43,5700,2
524,8,44,5666,2
525,8,45,5617,2
526,8,46,5733,2
527,8,47,4400,2
528,8,48,4184,2
529,8,49,5766,1
530,8,50,5734,2
531,8,51,5767,2
532,8,52,5734,2
533,8,53,5816,2
534,8,54,5734,2
535,8,55,5783,2
536,8,56,5716,2
537,8,57,5750,2
538,8,58,5684,2
539,8,59,5700,2
540,9,0,5700,2
541,9,1,5684,2
542,9,2,5633,2
543,9,3,5666,2
544,9,4,5584,2
545,9,5,5616,2
546,9,6,5550,2
547,9,7,5500,2
548,9,8,5500,2
549,9,9,5500,1
550,9,10,5417,2
551,9,11,5434,2
552,9,12,5400,2
553,9,13,5317,2
554,9,14,5300,2
555,9,15,5233,2
556,9,16,5284,2
557,9,17,5300,2
558,9,18,5050,2
559,9,19,5116,2
560,9,20,5033,2
561,9,21,5100,2
562,9,22,4983,2
563,9,23,4934,2
564,9,24,4916,2
565,9,25,4900,2
566,9,26,4834,2
567,9,27,4784,2
568,9,28,4800,2
569,9,29,4716,2
570,9,30,4650,2
571,9,31,4650,2
572,9,32,4616,2
573,9,33,4550,2
574,9,34,4500,2
575,9,35,4484,2
576,9,36,4367,1
577,9,37,4433,1
578,9,38,7667,1
579,9,39,,0
580,9,40,4233,1
581,9,41,4234,1
582,9,42,4266,1
583,9,43,4134,1
584,9,44,4066,1
585,9,45,4167,1
586,9,46,4033,1
587,9,47,3467,2
588,9,48,4000,2
589,9,49,3967,2
590,9,50,3900,2
591,9,51,3850,2
592,9,52,3866,2
593,9,53,3850,2
594,9,54,3767,2
595,9,55,3767,2
596,9,56,3716,2
597,9,57,3717,2
598,9,58,3666,2
599,9,59,3600,2
600,10,0,3650,2
601,10,1,3584,2
602,10,2,3466,2
603,10,3,3566,2
604,10,4,3484,2
605,10,5,3450,2
606,10,6,3384,2
607,10,7,3400,1
608,10,8,3367,1
609,10,9,3367,1
610,10,10,3300,1
611,10,11,3300,1
612,10,12,3266,1
613,10,13,3234,1
614,10,14,3233,1
615,10,15,3200,1
616,10,16,3167,1
617,10,17,3166,1
618,10,18,3134,1
619,10,19,3100,1
620,10,20,3100,1
621,10,21,3066,1
622,10,22,3034,1
623,10,23,3000,1
624,10,24,3000,1
625,10,25,2966,1
626,10,26,2967,1
627,10,27,,0
628,10,28,,0
629,10,29,,0
630,10,30,,0
631,10,31,2866,1
632,10,32,2834,1
633,10,33,2866,1
634,10,34,2834,1
635,10,35,2800,1
636,10,36,2800,1
637,10,37,2766,1
638,10,38,2734,1
639,10,39,2766,1
640,10,40,2734,1
641,10,41,2733,1
642,10,42,2700,1
643,10,43,2733,1
644,10,44,2667,1
645,10,45,2700,1
646,10,46,2633,1
647,10,47,2667,1
648,10,48,2633,1
649,10,49,2667,1
650,10,50,2600,1
651,10,51,2600,1
652,10,52,2567,1
653,10,53,2600,1
654,10,54,2600,1
655,10,55,2566,1
656,10,56,2567,1
657,10,57,2500,1
658,10,58,2567,1
659,10,59,2533,1
660,11,0,2500,1
661,11,1,2533,1
662,11,2,2534,1
663,11,3,2466,1
664,11,4,2467,1
665,11,5,2500,1
666,11,6,2467,1
667,11,7,2433,1
668,11,8,2500,1
669,11,9,2433,1
670,11,10,2434,1
671,11,11,2433,1
672,11,12,2400,1
673,11,13,2467,1
674,11,14,2400,1
675,11,15,2400,1
676,11,16,2400,1
677,11,17,2400,1
678,11,18,2400,1
679,11,19,2333,1
680,11,20,2433,1
681,11,21,2334,1
682,11,22,1066,1
683,11,23,,0
684,11,24,,0
685,11,25,,0
686,11,26,,0
687,11,27,,0
688,11,28,,0
689,11,29,,0
690,11,30,,0
691,11,31,,0
692,11,32,,0
693,11,33,,0
694,11,34,,0
695,11,35,,0
696,11,36,,0
697,11,37,,0
698,11,38,,0
699,11,39,,0
700,11,40,,0
701,11,41,,0
702,11,42,,0
703,11,43,,0
704,11,44,,0
705,11,45,,0
706,11,46,,0
707,11,47,,0
708,11,48,,0
709,11,49,,0
710,11,50,,0
711,11,51,,0
712,11,52,,0
713,11,53,,0
714,11,54,,0
715,11,55,,0
716,11,56,,0
717,11,57,,0
718,11,58,,0
719,11,59,,0
720,12,0,,0
721,12,1,,0
722,12,2,,0
723,12,3,,0
724,12,4,,0
725,12,5,,0
726,12,6,,0
727,12,7,,0
728,12,8,,0
729,12,9,,0
730,12,10,,0
731,12,11,,0
732,12,12,,0
733,12,13,,0
734,12,14,,0
735,12,15,,0
736,12,16,,0
737,12,17,,0
738,12,18,,0
739,12,19,,0
740,12,20,,0
741,12,21,,0
742,12,22,,0
743,12,23,,0
744,12,24,,0
745,12,25,,0
746,12,26,,0
747,12,27,,0
748,12,28,,0
749,12,29,,0
750,12,30,,0
751,12,31,2100,1
752,12,32,2133,1
753,12,33,2067,1
754,12,34,2133,1
755,12,35,2133,1
756,12,36,2100,1
757,12,37,2100,1
758,12,38,2100,1
759,12,39,2134,1
760,12,40,2066,1
761,12,41,2134,1
762,12,42,2066,1
763,12,43,2134,1
764,12,44,2066,1
765,12,45,2100,1
766,12,46,2100,1
767,12,47,2100,1
768,12,48,2067,1
769,12,49,2133,1
770,12,50,2067,1
771,12,51,,0
772,12,52,,0
773,12,53,,0
774,12,54,2067,1
775,12,55,2066,1
776,12,56,2100,1
777,12,57,2067,1
778,12,58,2100,1
779,12,59,2067,1
780,13,0,2133,1
781,13,1,2067,1
782,13,2,2066,1
783,13,3,2100,1
784,13,4,2067,1
785,13,5,2100,1
786,13,6,2067,1
787,13,7,2066,1
788,13,8,2067,1
789,13,9,2067,1
790,13,10,2100,1
791,13,11,2066,1
792,13,12,2067,1
793,13,13,2100,1
794,13,14,2067,1
795,13,15,2100,1
796,13,16,2066,1
797,13,17,2067,1
798,13,18,2100,1
799,13,19,2033,1
800,13,20,2067,1
801,13,21,2100,1
802,13,22,2067,1
803,13,23,2100,1
804,13,24,2066,1
805,13,25,2067,1
806,13,26,2100,1
807,13,27,2067,1
808,13,28,2100,1
809,13,29,2033,1
810,13,30,2067,1
811,13,31,2100,1
812,13,32,2066,1
813,13,33,2100,1
814,13,34,2067,1
815,13,35,2067,1
816,13,36,2100,1
817,13,37,2066,1
818,13,38,2100,1
819,13,39,2067,1
820,13,40,2067,1
821,13,41,2100,1
822,13,42,2066,1
823,13,43,2100,1
824,13,44,2100,1
825,13,45,2100,1
826,13,46,2067,1
827,13,47,2067,1
828,13,48,2466,1
829,13,49,,0
830,13,50,2100,1
831,13,51,2066,1
832,13,52,2100,1
833,13,53,2100,1
834,13,54,2100,1
835,13,55,2067,1
836,13,56,2133,1
837,13,57,2067,1
838,13,58,2133,1
839,13,59,2067,1
840,14,0,2133,1
841,14,1,2100,1
842,14,2,2100,1
843,14,3,2100,1
844,14,4,2134,1
845,14,5,2066,1
846,14,6,2134,1
847,14,7,2133,1
848,14,8,2100,1
849,14,9,2133,1
850,14,10,2100,1
851,14,11,2134,1
852,14,12,2133,1
853,14,13,2100,1
854,14,14,2133,1
855,14,15,2100,1
856,14,16,2134,1
857,14,17,2133,1
858,14,18,2167,1
859,14,19,2100,1
860,14,20,2166,1
861,14,21,2134,1
862,14,22,2133,1
863,14,23,2133,1
864,14,24,2167,1
865,14,25,2167,1
866,14,26,2100,1
867,14,27,2166,1
868,14,28,2167,1
869,14,29,2167,1
870,14,30,2133,1
871,14,31,2167,1
872,14,32,2200,1
873,14,33,2166,1
874,14,34,2167,1
875,14,35,2167,1
876,14,36,2200,1
877,14,37,2133,1
878,14,38,2200,1
879,14,39,2200,1
880,14,40,2233,1
881,14,41,2134,1
882,14,42,2200,1
883,14,43,2200,1
884,14,44,2200,1
885,14,45,2266,1
886,14,46,2200,1
887,14,47,2200,1
888,14,48,2234,1
889,14,49,2200,1
890,14,50,2233,1
891,14,51,2233,1
892,14,52,2200,1
893,14,53,2234,1
894,14,54,2266,1
895,14,55,2234,1
896,14,56,2266,1
897,14,57,2234,1
898,14,58,2266,1
899,14,59,2267,1
900,15,0,2233,1
901,15,1,2300,1
902,15,2,2267,1
903,15,3,2300,1
904,15,4,2267,1
905,15,5,2266,1
906,15,6,2334,1
907,15,7,2266,1
908,15,8,2334,1
909,15,9,2266,1
910,15,10,2334,1
911,15,11,2333,1
912,15,12,2300,1
913,15,13,2367,1
914,15,14,2333,1
915,15,15,2333,1
916,15,16,2334,1
917,15,17,2366,1
918,15,18,2367,1
919,15,19,2333,1
920,15,20,2367,1
921,15,21,2400,1
922,15,22,2367,1
923,15,23,2400,1
924,15,24,2400,1
925,15,25,2400,1
926,15,26,2400,1
927,15,27,2433,1
928,15,28,2400,1
929,15,29,2467,1
930,15,30,2433,1
931,15,31,2433,1
932,15,32,2434,1
933,15,33,2500,1
934,15,34,2433,1
935,15,35,2467,1
936,15,36,2500,1
937,15,37,2500,1
938,15,38,2500,1
939,15,39,2500,1
940,15,40,2533,1
941,15,41,2500,1
942,15,42,2533,1
943,15,43,2567,1
944,15,44,2567,1
945,15,45,2566,1
946,15,46,2534,1
947,15,47,2600,1
948,15,48,2600,1
949,15,49,,0
950,15,50,2600,1
951,15,51,2666,1
952,15,52,2634,1
953,15,53,2633,1
954,15,54,2633,1
955,15,55,2700,1
956,15,56,2667,1
957,15,57,2667,1
958,15,58,2733,1
959,15,59,2733,1
960,16,0,2700,1
961,16,1,2767,1
962,16,2,2767,1
963,16,3,2766,1
964,16,4,2800,1
965,16,5,2800,1
966,16,6,2800,1
967,16,7,2834,1
968,16,8,3100,2
969,16,9,3134,2
970,16,10,3084,2
971,16,11,3100,2
972,16,12,3084,2
973,16,13,3116,2
974,16,14,3066,2
975,16,15,3084,2
976,16,16,3100,2
977,16,17,3084,2
978,16,18,3100,2
979,16,19,3067,2
980,16,20,3100,2
981,16,21,3084,2
982,16,22,3083,2
983,16,23,3084,2
984,16,24,3100,2
985,16,25,3133,2
986,16,26,3084,2
987,16,27,3100,2
988,16,28,3116,2
989,16,29,3100,2
990,16,30,3134,2
991,16,31,3117,2
992,16,32,3133,2
993,16,33,3150,2
994,16,34,3134,2
995,16,35,3166,2
996,16,36,3150,2
997,16,37,3184,2
998,16,38,3183,2
999,16,39,3200,2
1000,16,40,3184,2
1001,16,41,3216,2
